name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
shanghai,2022-03-22,10.4,7.6,9.1,10.4,4.4,7.3,4.8,75.6,1.9,100,4.17,rain,0,0,43.2,25.5,37.4,1023.2,49.3,11.6,64.4,5.6,2,10,2022-03-22T05:55:58,2022-03-22T18:06:41,0.64,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-23,14.5,7.2,10.3,14.5,4.3,9.3,2.1,58.9,0.3,100,8.33,rain,0,0,24.8,17.2,19.2,1020.9,40.4,11.6,238.6,20.4,8,10,2022-03-23T05:54:42,2022-03-23T18:07:20,0.67,"Rain, Partially cloudy",Clearing in the afternoon with early morning rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-24,18,6,12.6,18,4.5,12.2,5.6,64,0,0,0,,0,0,65.9,36.6,147.8,1017.1,32.6,11,246.8,21.2,8,10,2022-03-24T05:53:27,2022-03-24T18:08:00,0.71,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-25,19,14.8,17.1,19,14.8,17.1,15.8,91.7,25.1,100,16.67,rain,0,0.2,74.9,40.8,164.1,1007.2,85.7,9,24.6,2.2,1,10,2022-03-25T05:52:11,2022-03-25T18:08:39,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-26,16.9,12.5,14.7,16.9,12.5,14.7,7.8,64.8,0.1,100,4.17,rain,0,0,44.6,29.5,323.4,1013.8,83.2,10.9,141.4,12.2,8,10,2022-03-26T05:50:56,2022-03-26T18:09:18,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-27,18.5,10.8,14,18.5,10.8,14,4,52.9,0,0,0,,0,0,35.6,23.5,10.3,1020.2,95,10.8,128.4,11.1,5,10,2022-03-27T05:49:40,2022-03-27T18:09:58,0.82,Overcast,Cloudy skies throughout the day.,cloudy,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-28,14.7,9.5,11.6,14.7,8,11.4,3.1,56.5,0,0,0,,0,0,28.4,17.4,86,1025.1,69.5,11.6,164,14.1,7,10,2022-03-28T05:48:25,2022-03-28T18:10:37,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-29,19.4,6.9,13.5,19.4,5.9,13.2,5.1,59,0,0,0,,0,0,44.6,23.1,137.6,1021.8,43.6,11.4,258.1,22.2,9,10,2022-03-29T05:47:10,2022-03-29T18:11:16,0.89,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-30,24.6,13.4,17.8,24.6,13.4,17.8,12.2,71.4,0,0,0,rain,0,0,49.3,24.2,63.1,1018.5,79.9,10.8,170.4,14.7,8,10,2022-03-30T05:45:55,2022-03-30T18:11:55,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-03-31,13.8,9.2,12,13.8,6,11.7,7.9,76.4,1.1,100,4.17,rain,0,0,41.4,29.1,13,1026.7,66.2,10.6,67.7,6,3,10,2022-03-31T05:44:40,2022-03-31T18:12:34,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-01,13.8,7.3,10.5,13.8,4.2,9.1,2.1,57,0,0,0,,0,0,39.2,24,10.6,1031.2,87.6,11.4,187,16.1,7,10,2022-04-01T05:43:25,2022-04-01T18:13:13,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-02,16.1,5.9,10.8,16.1,3.8,10,1.5,57,0,0,0,,0,0,33.1,18.3,25.6,1029.6,60.6,11.4,283,24.4,9,10,2022-04-02T05:42:11,2022-04-02T18:13:52,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,58362099999"
shanghai,2022-04-03,16.5,5.5,11.7,16.5,5.2,11.5,2,54.1,0,0,0,,0,0,26.3,14.4,64.4,1029.1,0,11.4,267.3,23.2,9,10,2022-04-03T05:40:56,2022-04-03T18:14:31,0.06,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-04,18.6,7.1,13.2,18.6,7,13,4.3,58,0,0,0,,0,0,31.3,19.2,129,1027.8,76.5,11.1,256.5,22,9,10,2022-04-04T05:39:42,2022-04-04T18:15:10,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-05,16.9,10.6,13.5,16.9,10.6,13.5,7.3,66.7,0,0,0,,0,0,34.9,14.1,160.1,1022,93.3,11.2,71.6,6.2,3,10,2022-04-05T05:38:29,2022-04-05T18:15:49,0.13,Overcast,Cloudy skies throughout the day.,cloudy,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-06,24.5,8.7,16.7,24.5,8.7,16.7,7.6,60.3,0,0,0,,0,0,24.1,17.3,100.3,1020.4,16.9,10.4,255.2,22.2,9,10,2022-04-06T05:37:15,2022-04-06T18:16:29,0.16,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-07,26.9,12.4,19.7,26.6,12.4,19.7,9.3,56.2,0,0,0,,0,0,24.1,15.2,156.7,1018.9,0,10.1,266.5,23,9,10,2022-04-07T05:36:02,2022-04-07T18:17:08,0.19,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-08,27.3,13.6,20.4,26.7,13.6,20.3,7.8,47.5,0,0,0,,0,0,42.1,24,157.8,1017.7,0,11.1,259.7,22.3,9,10,2022-04-08T05:34:50,2022-04-08T18:17:47,0.22,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-09,28.1,13.8,20.5,27,13.8,20.3,8.5,49.8,0,0,0,,0,0,44.6,22.2,160.9,1013.9,37.6,11.6,270,23.3,9,10,2022-04-09T05:33:38,2022-04-09T18:18:26,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-10,27.1,16.6,21,27.2,16.6,21,14.3,67.2,0,0,0,,0,0,47.2,21.6,157.3,1011.9,84.1,11.2,215,18.5,8,10,2022-04-10T05:32:26,2022-04-10T18:19:05,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-11,32.5,16.6,24.2,31,16.6,23.9,14.4,59.5,0,0,0,,0,0,39.6,15.6,171.3,1009.8,0.3,11,259.4,22.4,9,10,2022-04-11T05:31:15,2022-04-11T18:19:45,0.32,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-12,32.6,18,24.5,32.7,18,24.6,16.6,64.7,0,0,0,,0,0,29.2,24.6,137.5,1008.4,35.9,11.1,239,20.7,8,10,2022-04-12T05:30:04,2022-04-12T18:20:24,0.35,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-13,16.7,13.6,14.6,16.7,13.6,14.6,13.5,93.3,103.9,100,20.83,rain,0,0.4,57.6,35.7,19.5,1009.1,89,6.6,19.8,1.7,1,10,2022-04-13T05:28:54,2022-04-13T18:21:04,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-14,15.2,12.9,14,15.2,12.9,14,13.2,94.9,13.8,100,8.33,rain,0,0.1,61.2,31,350.6,1014.2,89,7.6,32.1,2.6,2,10,2022-04-14T05:27:44,2022-04-14T18:21:43,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-15,18,11.9,14.3,18,11.9,14.3,7.9,67.9,2.4,100,4.17,rain,0,0,38.5,29.4,13.2,1020.4,93.6,11,170,14.6,9,10,2022-04-15T05:26:35,2022-04-15T18:22:23,0.45,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-16,17.4,11.8,14.4,17.4,11.8,14.4,2.1,45.1,0,0,0,,0,0,36,21.9,32.7,1021.2,95,11.5,211,18.3,9,10,2022-04-16T05:25:26,2022-04-16T18:23:03,0.48,Overcast,Cloudy skies throughout the day.,cloudy,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-17,19.9,9,15,19.9,8.5,15,2.5,47,0,0,0,,0,0,28.8,19.5,84.9,1020.5,72.4,11.4,268,23,9,10,2022-04-17T05:24:18,2022-04-17T18:23:43,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-18,20.6,13.4,16.2,20.6,13.4,16.2,4.8,47.6,0,0,0,,0,0,28.8,14.7,102.2,1019.1,91.9,11.7,183.2,15.7,9,10,2022-04-18T05:23:11,2022-04-18T18:24:23,0.55,Overcast,Cloudy skies throughout the day.,cloudy,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-19,22.5,11.7,17.2,22.5,11.7,17.2,8.5,57.5,0.1,100,4.17,rain,0,0,25.2,17.4,150,1018.9,45,10.9,190.3,16.6,7,10,2022-04-19T05:22:05,2022-04-19T18:25:03,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-20,24.8,12.2,18.9,24.8,12.2,18.9,9.5,55.9,0,0,0,,0,0,47.5,26,158.6,1015.4,39,10.4,225.5,19.4,8,10,2022-04-20T05:20:59,2022-04-20T18:25:43,0.62,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-21,25.6,14.9,19.5,25.6,14.9,19.5,13.6,70.9,2.6,100,8.33,rain,0,0,42.1,20.5,185.7,1011.7,9.7,9.3,253.5,21.8,9,10,2022-04-21T05:19:54,2022-04-21T18:26:23,0.66,Rain,Clear conditions throughout the day with rain clearing later.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-22,28.7,16.1,22.6,28.7,16.1,22.6,14.9,63.6,0.4,100,8.33,rain,0,0,39.6,14.4,176.8,1010.7,84.3,10.9,192.2,16.4,7,10,2022-04-22T05:18:49,2022-04-22T18:27:04,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-23,21,17.8,19.1,21,17.8,19.1,17.5,90.9,11.1,100,16.67,rain,0,0,32,20.1,124.6,1010.7,52.1,10.3,43.1,3.6,2,10,2022-04-23T05:17:46,2022-04-23T18:27:44,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-24,23.4,17,19.5,23.4,17,19.5,16.2,81.2,0,0,0,,0,0,32.8,19.9,129,1010.7,89,11.2,110.7,9.6,5,10,2022-04-24T05:16:43,2022-04-24T18:28:25,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-25,26.8,16.8,21.5,28.5,16.8,21.5,19.2,87.5,5,100,8.33,rain,0,0,48.6,24.9,150,1004.7,59.2,8.7,159.5,13.8,9,10,2022-04-25T05:15:41,2022-04-25T18:29:05,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-26,22.5,17.3,20.2,22.5,17.3,20.2,18.3,88.6,0.4,100,8.33,rain,0,0,42.8,25.2,341.1,1005.8,73.2,10.1,80.9,6.7,4,10,2022-04-26T05:14:40,2022-04-26T18:29:46,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-27,21.7,15.8,18.5,21.7,15.8,18.5,9.5,59.3,0,0,0,,0,0,40,24,57.2,1015.5,79.8,11.1,223.2,19.2,9,10,2022-04-27T05:13:40,2022-04-27T18:30:27,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-28,20.5,15,17.6,20.5,15,17.6,13.5,77.5,11,100,8.33,rain,0,0,39.6,25.2,72.6,1013.4,91,9.9,71.2,6.1,3,10,2022-04-28T05:12:41,2022-04-28T18:31:08,0.9,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-29,15.6,12.2,14.1,15.6,12.2,14.1,9.8,76.4,6,100,4.17,rain,0,0,44.6,30,16.4,1018,88.5,11.1,66.9,5.7,5,10,2022-04-29T05:11:43,2022-04-29T18:31:49,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-04-30,16.8,11.8,14.6,16.8,11.8,14.6,8.6,67.7,0,0,0,,0,0,25.2,19.3,20.3,1019.6,77.4,11.6,155.4,13.4,7,10,2022-04-30T05:10:45,2022-04-30T18:32:30,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-01,20.4,12,16.1,20.4,12,16.1,7.4,58.7,0,0,0,,0,0,25.9,16.9,356.5,1018.9,80.2,11,244.8,21.2,9,10,2022-05-01T05:09:49,2022-05-01T18:33:11,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-02,24,11.7,18.6,24,11.7,18.6,8.8,56.1,0,0,0,,0,0,25.6,14.4,252.3,1017.7,52.2,10,270,23.2,9,10,2022-05-02T05:08:54,2022-05-02T18:33:52,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-03,27.3,14.6,21,26.7,14.6,20.9,9.9,51.7,0,0,0,,0,0,32,21.4,158.5,1019.3,41.6,10.1,270.9,23.3,9,10,2022-05-03T05:07:59,2022-05-03T18:34:33,0.08,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-04,27.2,15.1,21,26.5,15.1,21,9.2,50.5,0,0,0,,0,0,35.6,21.6,150.8,1017.7,11.9,10.7,303.8,26.3,9,10,2022-05-04T05:07:06,2022-05-04T18:35:14,0.11,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-05,27.5,14.2,21,26.8,14.2,21,12.9,62,0,0,0,,0,0,36.7,23.1,141.7,1015.1,7,11.5,293.3,25,9,10,2022-05-05T05:06:14,2022-05-05T18:35:55,0.14,Clear,Clear conditions throughout the day.,clear-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-06,29.4,17.4,22.9,29,17.4,22.8,15.9,67.8,0,0,0,,0,0,37.8,20.1,149.5,1013.2,33.1,10.8,292.4,25.1,9,10,2022-05-06T05:05:23,2022-05-06T18:36:36,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-07,26.1,17.7,21.1,26.1,17.7,21.1,17.1,78.7,0.1,100,4.17,rain,0,0,32.4,23.4,77.8,1016.5,75.8,9.2,182.7,15.8,9,10,2022-05-07T05:04:33,2022-05-07T18:37:18,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-08,24.8,17.4,20.3,24.8,17.4,20.3,12.3,61.1,0,0,0,,0,0,28.8,18.4,86.1,1017.4,63.4,11.3,278.4,24.2,10,10,2022-05-08T05:03:44,2022-05-08T18:37:59,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-09,22.7,15.9,18.8,22.7,15.9,18.8,9.1,54.6,0,0,0,,0,0,28.8,20.1,59,1016.8,44.3,11.6,224.9,19.4,9,10,2022-05-09T05:02:57,2022-05-09T18:38:40,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-10,21.7,16.9,19.1,21.7,16.9,19.1,14.5,74.8,3,100,8.33,rain,0,0,29.2,18.4,125.2,1013.4,56,10.5,72.9,6.2,3,10,2022-05-10T05:02:11,2022-05-10T18:39:21,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-11,22.8,18.7,19.9,22.8,18.7,19.9,15.8,77.4,0,0,0,,0,0,32.4,18.3,67.2,1013,87.2,10.1,85.4,7.4,5,10,2022-05-11T05:01:25,2022-05-11T18:40:02,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-12,19.4,16.8,17.9,19.4,16.8,17.9,16.6,91.9,13.2,100,20.83,rain,0,0,32.4,17.7,37.4,1011.4,95.1,8,45.8,4,2,10,2022-05-12T05:00:42,2022-05-12T18:40:42,0.37,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-13,17,14.3,15.9,17,14.3,15.9,13.5,86.1,13.5,100,16.67,rain,0,0,36,25.4,19.5,1010.9,90,8.7,46.5,4.1,2,10,2022-05-13T04:59:59,2022-05-13T18:41:23,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-14,22.1,12.6,17.9,22.1,12.6,17.9,8.7,58.1,0,0,0,,0,0,36,18.9,31.5,1016.5,48.8,10.9,269,23.4,9,10,2022-05-14T04:59:18,2022-05-14T18:42:04,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-15,22.3,15.5,18.8,22.3,15.5,18.8,7.5,49.2,0.1,100,4.17,rain,0,0,25.2,12.3,311.6,1017.3,91.4,10.6,154.8,13.4,10,10,2022-05-15T04:58:37,2022-05-15T18:42:44,0.47,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
shanghai,2022-05-16,25.4,15.6,20.5,25.4,15.6,20.5,8.8,49.3,0,0,0,,0,0,28.8,21.5,235.1,1014.9,61.2,10.2,214.6,18.4,8,10,2022-05-16T04:57:59,2022-05-16T18:43:24,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"58367099999,ZSSS,58321199999,ZSPD,E3870,58362099999"
